year,company,auwgr,lkpp,hlr_lag1,hlr_lag2,hlr_lag3,hlr_lag4,hlr_lag5,mer,der,oer,prem_write_net_lag1,claim_set_net_lag1,exp_management_lag1,exp_comm_incur_net_lag1,exp_other_lag1,prem_liab_diff_lag1,claim_liab_diff_lag1,uw_gain_lag1,class_bonds,class_cnstr_engr,class_cpr,class_fire,class_health,class_mac,class_mahl,class_motor,class_others,class_pa,class_prof_indm,class_pub_lia,class_wic
2017,c079,0.3816703061574314,6.441110354472831,-1.4086260222039806,-1.3511008797254187,-1.178212732273967,-1.152258719890185,-1.0823953540806706,-0.02691915930772939,-0.3371883725001592,-0.0007549826295733786,1759312.0,-1311182.0,-45104.0,-564971.0,-1265.0,163204.0,874840.0,874834.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018,c079,0.09605188596782069,6.329820739502326,-1.3327465047082951,-1.4085514656973803,-1.3509154784531572,-1.177751001823128,-1.1523970490214561,-0.03729255236131139,-0.33598733804043773,-0.110084813252104,1499294.0,-357144.0,-53250.0,-479756.0,-157190.0,186147.0,-65865.0,572236.0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,c079,0.7581694860259203,1.4990118260776362,-1.8275796038744634,-1.7934390114741658,-1.774338342415217,-1.695074217783132,-1.6560315469748395,-0.023131407889054302,-0.26179940511543964,-0.043929678337628536,1105915.923076923,-681414.2307692308,-24363.23076923077,-275741.07692307694,-46269.07692307692,-12391.692307692312,-43957.38461538451,21779.23076923077,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,c079,0.5188699543330424,41.45395757889291,-1.7983878296398927,-1.7934390114741658,-1.774338342415217,-1.695074217783132,-1.6560315469748395,-0.04174814833303175,-0.18684458477109217,-0.0,160261.0,-71689.0,-6372.0,-28518.0,-0.0,-9177.0,77000.0,121505.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,c079,0.1320692784167879,3.766179255590356,-1.3023425466652776,-1.7791354606261143,-1.774338342415217,-1.695074217783132,-1.6560315469748395,-0.032108174361230715,-0.19428123496604593,-0.0,413647.0,-102897.0,-12649.0,-76537.0,-0.0,-62935.0,56000.0,214629.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,c079,0.2617249854234722,1.6461401577829524,-0.7985820787435042,-1.4210881479684783,-1.7648581248402746,-1.6950742177831317,-1.6560315469748395,-0.020176311705875263,-0.25329517466290563,-0.0,1319141.0,-128483.0,-25348.0,-318221.0,-0.0,-226784.0,-446087.0,174218.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,c079,-0.4556201795099747,3.1869199034272895,-0.7076189843005933,-0.9025359295024026,-1.4701125413184737,-1.6928643299091148,-1.6560315469748395,-0.02061243595228354,-0.2657389438714674,-0.15936565986000698,1713371.0,-515821.0,-33635.0,-433628.0,-260050.0,-31208.0,9403.0,448432.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,c079,-0.019587745926670064,0.870758198595865,-0.9522726839121871,-0.7606559462443173,-0.9642903664287892,-1.4530841623042998,-1.6565443320459665,-0.020064357551724015,-0.29794757740262146,-0.004543587428678347,3912206.0,-1774192.0,-74758.0,-1110126.0,-16929.0,-846818.0,-1871863.0,-1782480.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,c079,0.5540113977347964,1.4465905401165091,-1.3204931945673026,-0.9666038255600736,-0.7958590533520804,-0.9891358226182834,-1.4447308967733714,-0.018403235048801495,-0.29276793666613726,-0.03355131446963435,2650841.0,-1813625.0,-46461.0,-739125.0,-84704.0,678694.0,-697544.0,-51924.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,c079,-0.10856961989815338,4.839886312188742,-1.7512971414993999,-1.3251380972359699,-0.976595529997045,-0.8138929713026062,-1.0055184573090108,-0.020358925748424576,-0.20448524665816464,-0.02649661529059235,962121.0,-1010569.0,-18655.0,-187371.0,-24279.0,239843.0,571936.0,533026.0,0,0,0,0,0,0,1,0,0,0,0,0,0
