year,company,auwgr,lkpp,hlr_lag1,hlr_lag2,hlr_lag3,hlr_lag4,hlr_lag5,mer,der,oer,prem_write_net_lag1,claim_set_net_lag1,exp_management_lag1,exp_comm_incur_net_lag1,exp_other_lag1,prem_liab_diff_lag1,claim_liab_diff_lag1,uw_gain_lag1,class_bonds,class_cnstr_engr,class_cpr,class_fire,class_health,class_mac,class_mahl,class_motor,class_others,class_pa,class_prof_indm,class_pub_lia,class_wic
2013,c166,1.271973539140022,1.9451358715663893,-2.121143163631569,-2.604776206927784,-3.4482722868100053,-3.0481949091490077,-3.7118134911061524,-0.2502063377882104,0.13009218945216372,-0.005605194411842654,52826.0,-8940.0,-12588.0,6545.0,-282.0,1783.0,-20001.0,19343.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,c166,0.8866110113071964,-2.0337234853580877,-1.7066220101914955,-2.1231948019236615,-2.607979564253646,-3.460926382273341,-3.0561790412168337,-0.25818191841234844,0.03366482910694598,-0.006205071664829108,45350.0,-22919.0,-11151.0,1454.0,-268.0,3217.0,42001.0,57684.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,c166,0.1057985164891214,-8.969668246445497,-1.4969553092295658,-1.7105056011414048,-2.1279757109475157,-2.619837622929256,-3.463342954329858,-0.26970305399978867,0.03927929831977175,-0.0056958681179330025,28389.0,-13835.0,-7292.0,1062.0,-154.0,13000.0,4000.0,25170.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,c166,0.4410897937090275,1.6965239319620253,-0.9992261360873105,-1.5009407018862406,-1.7154228849796656,-2.1370478125321584,-2.6262491642401433,-0.31712230949709275,0.008721819851066,-0.01159849025808426,68621.0,-13448.0,-20725.0,570.0,-758.0,-22000.0,-5000.0,7260.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,c166,0.3558315601959523,2.5664231323317557,-0.8584357066199012,-1.0027008972396854,-1.5053943234966205,-1.7224756307417672,-2.143112514906744,-0.33454922716064234,0.16385397245444158,-0.0070307331448848254,49881.0,-14436.0,-15893.0,7784.0,-334.0,-4000.0,-1000.0,22002.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,c166,0.7805159731352831,1.2820935765265662,-0.931462061398359,-0.861013938748375,-1.0059955870418924,-1.5111738676854727,-1.7277914056218684,-0.3573346033945272,0.5051524073432629,-0.005221683408382404,40418.0,-38050.0,-13755.0,19445.0,-201.0,-475.0,7000.0,14382.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,c166,1.4038470441322446,9.746642138603391,-0.6531079672992915,-0.6762795670260694,-0.702346233133807,-0.714219719909363,-0.7346783432088857,-0.29501451928852734,0.5278927504442353,-0.007878644167404766,2444520.076923077,-253062.0,-686827.5384615385,1228994.6923076923,-18342.384615384617,-14542.307692307513,16797.923076923005,2717538.4615384615,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,c166,1.8977205693486656,4.531747415686253,-0.9508006626564655,-0.6762795670260694,-0.702346233133807,-0.714219719909363,-0.7346783432088857,-0.3342694217529405,1.0035052135847204,-0.013497692170333881,1663251.0,-554426.0,-529499.0,1589601.0,-21381.0,156169.0,31235.0,2334950.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,c166,1.4301752430405625,5.447581822733056,-1.022183299685449,-1.1668800915079787,-0.9817764888266177,-0.8815237573633882,-0.7346783432088856,-0.3022676481526776,0.8586289909166753,-0.009253532310970687,2089213.0,-243548.0,-601430.0,1708437.0,-18412.0,-447989.0,308025.0,2794296.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,c166,1.1420821979489328,-7.087829566708714,-0.7224025747461333,-0.8899801877923044,-0.9964255349213675,-1.134617537094678,-0.9805253189865808,-0.2634832374305386,0.616738526184378,-0.006580384105048738,2281303.0,-150601.0,-572462.0,1339969.0,-14297.0,98292.0,374171.0,3356375.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,c166,0.9126673877840148,5.295940852817123,-0.577042445169236,-0.5635677766391353,-0.7234632006181123,-0.8876375459446046,-0.9954872282989025,-0.24994641350055466,0.3836930643443393,-0.005607233808879733,2713370.0,-92144.0,-645902.0,991525.0,-14490.0,260168.0,-680373.0,2532154.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,c166,0.9846696238099208,4.840891130496337,-0.5745094547091399,-0.5653269657295074,-0.579374574735944,-0.5668098561595617,-0.7258702035738991,-0.2850441379879784,0.16764072991950818,-0.006002945999154774,3173117.0,-338785.0,-861408.0,506613.0,-18141.0,-75697.0,-241000.0,2144699.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005,c166,0.24185428998174477,1.5054855912698912,-2.9893531138037193,-2.928069396694904,-2.906018308594886,-2.8168180877864093,-2.618037802706931,-0.2804398898150982,-0.23161665736456435,-0.0070658120735286175,534067.3076923077,-240571.53846153847,-142641.6923076923,-117808.46153846153,-3593.923076923077,-14717.153846153844,-99458.84615384624,-84724.30769230769,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,c166,-0.8679974243399872,2.534810348454042,-3.325893927701252,-2.928069396694904,-2.906018308594886,-2.8168180877864093,-2.618037802706931,-0.32983487304309345,-0.038655473806494436,-0.01333047518946728,36154.0,-23585.0,-11357.0,-1331.0,-459.0,4200.0,5122.0,8744.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,c166,-0.5988176691456054,1.2114534963262218,-3.292150808966724,-4.1450812165432565,-3.476736710210909,-2.979888730376521,-2.6180378027069313,-0.30111801984933634,0.12597154131292598,-0.009221172625453387,150534.0,-25677.0,-43170.0,18060.0,-1322.0,-84266.0,-14316.0,-157.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,c166,-1.3281571718032321,0.894891964740849,-1.5877329028181568,-3.1986679808721536,-3.9162717808726484,-3.3413390102366662,-2.7813453961016625,-0.26034176049143515,-0.23622470894387168,-0.008866093695689237,756641.0,-71138.0,-187605.0,-170226.0,-6389.0,-227290.0,-547083.0,-453090.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,c166,-0.24017872085546424,0.5252055584319474,-2.305427809836203,-1.6478875425189514,-3.1579305565966664,-3.7445007066735125,-3.1287680552859642,-0.263490652597775,-0.17527669457506595,-0.006580456474366327,732396.0,-256481.0,-183790.0,-122259.0,-4590.0,-73060.0,-1064953.0,-972737.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,c166,-0.10910842671769871,1.3199339038990596,-2.5358988118855863,-2.3175530444895216,-1.6789013981068164,-3.091590903057087,-3.516903147460951,-0.250710170969532,-0.2497737362259863,-0.006209371614301192,908232.0,-291320.0,-216860.0,-216050.0,-5371.0,-58000.0,-338769.0,-218138.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,c166,0.5879009739331195,1.7553512657650108,-2.578531176412024,-2.53937085049643,-2.3238647734102846,-1.6832752302770986,-2.964488975515282,-0.2499343819612797,-0.3108513704147741,-0.005607222144480711,1057636.0,-461717.0,-251752.0,-313112.0,-5648.0,-44526.0,-96278.0,-115397.0,0,0,0,0,0,0,1,0,0,0,0,0,0
